id,name,country_code
80299_70860,TENG CHUN HSUN /  YANG CHU YUN,TPE
80402,AAKARSHI KASHYAP,IND
80497_83074,VINSON CHIU /  JENNIE GAI,USA
80497_94647,VINSON CHIU /  JOSHUA YUAN,USA
80532,KAORU SUGIYAMA,JPN
80547_67676,RUTAPARNA PANDA /  SWETAPARNA PANDA,IND
80711_91246,LOO BING KUN /  HO LO EE,MAS
80795,HUNG YI-TING,TPE
80862,CHIU PIN-CHIAN,TPE
80862_61614,CHIU PIN-CHIAN /  TUNG CIOU-TONG,TPE
80871_79198,BENYAPA AIMSAARD /  NUNTAKARN AIMSAARD,THA
80886_82061,BOBBY SETIABUDI /  MELATI DAEVA OKTAVIANTI,INA
80889,RACHAEL DARRAGH,IRL
81034_89360,KUSWANTO KUSWANTO /  SREEYUKTHA SREEJITH PAROL,UAE
81108_62713,YE HONG WEI /  NICOLE GONZALES CHAN,TPE
81108_76717,YE HONG WEI /  LEE CHIA HSIN,TPE
81293_59275,JUN LIANG ANDY KWEK /  WONG JIA YING CRYSTAL,SGP
81293_85184,JUN LIANG ANDY KWEK /  LOH KEAN HEAN,SGP
81327_84421,PONGSAKORN THONGKHAM /  WONGSATHORN THONGKHAM,THA
81362,NG TZE YONG,MAS
81458_81702,DEJAN FERDINANSYAH /  GLORIA EMANUELLE WIDJAJA,INA
81462_88097,APRIYANI RAHAYU /  SITI FADIA SILVA RAMADHANTI,INA
81561,LEE ZII JIA,MAS
81585,DAI WANG,CHN
